Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
OPJgYQ33b3Y,2019 Hippocratic Oath and Diploma Ceremony,11-May-19,8904,13,23,11,1341,190.6351,6,27374,1.92
MUXCzEIxDYw,Christmas Eve Service of Lessons and Carols - 12/24/17,25-Dec-17,7106,12,90,41,8274,1868.3824,17,58591,4.03
XMrGK1JG4GA,Sunday Service - 2/28/10 - Barbara Brown Taylor,2-Mar-10,5595,12,150,113,42536,4347.0109,53,86388,4.58
3DDk4Os-WxY,Easter Sunday Morning Worship Service - 3/31/24 - Dean Luke A. Powery,1-Apr-24,5385,11,66,68,5794,1194.8475,39,69700,5.44
RV-1VLJHzIs,Dr David Arcus performs Sowerby's Pageant,5-Mar-09,752,11,4,14,5117,81.1283,1,5284,3.54
SsKvwGkNyag,Catholic Mass - 11/18/12 - 33rd Sunday in Ordinary Time,19-Nov-12,3736,11,92,83,25163,1189.1012,67,111292,9.53
WPi-ZDVfCVc,University Worship Service - 7/30/17 - Rev. Fred Davis,30-Jul-17,5141,11,25,6,1390,261.035,1,4250,3.36
WrXn-Hm0iy0,Clavierübung III: The German Organ Mass,9-Apr-17,7081,11,67,145,10825,1863.5957,53,93279,5.9
bd_72g8C_q0,"Sunday Morning Worship Service - 1/20/19 - Rev. Dr. Otis Moss, Jr.",20-Jan-19,5772,11,20,9,1752,388.1249,2,16055,4.22
imVwiv-K_pY,Catholic Mass - 3/28/13 - Holy Thursday,29-Mar-13,5361,11,30,34,15753,1345.9151,14,48478,5.69
nltzVKDQOlo,University Worship Service - 1/14/18 - Dr. Michael Eric Dyson,14-Jan-18,5152,11,139,50,4640,938.8881,15,50310,2.85
qUGlIud_Qf4,Sunday Service - 11/9/08 - Dr Jean Vanier,20-Dec-11,4668,11,44,43,4876,1046.5782,13,25635,5.03
sCxF9ykCx8E,Worship Service - 3/15/15 - Sarah Howell,15-Mar-15,5476,11,12,5,2069,303.9962,0,3270,2.2
u0DTAKUNUzU,Catholic Mass - 3/31/13 - Easter Sunday of the Resurrection of the Lord,1-Apr-13,4495,11,17,16,12857,1016.1679,5,35775,6.81
yTn0vL-T8Xk,Sunday Morning Worship Service - 9/8/19 - Rev. Dr. N.T. Wright,8-Sep-19,5796,11,109,46,6086,1431.4948,30,51556,4.15
aXLs8C0RDMc,"Dr Robert Parkins performs Reger's Toccata in D Minor, Op. 5",5-Mar-09,289,10,13,20,7030,46.543,1,5711,3.8
d8FutVXZJ3I,Catholic Mass - 11/27/11 - 1st Sunday of Advent,28-Nov-11,4542,10,12,29,13777,813.0235,7,17689,6.57
iOFJsuapkZ0,"Dr Robert Parkins performs Franck's Pastorale, Op. 19",5-Mar-09,673,10,2,14,4062,70.6829,2,5368,3.5
 -UBBnRFi_Po,Sunday Service - 9/12/10 - Kori Jones,13-Sep-10,5566,9,2,5,5054,215.0271,3,2883,4.02
D-DcDrUY0qo,Catholic Mass - 7/15/12 - 15th Sunday in Ordinary Time,16-Jul-12,4303,9,3,7,4365,308.9129,1,5030,6.72
GldVY7z3Okc,"Catholic Mass - October 16, 2011",16-Oct-11,0,9,0,1,0,0,0,0,
NFWDtRZQ31o,Christ the Lord Is Risen Today (EASTER HYMN),4-Apr-21,348,9,327,144,23904,824.1126,39,55918,6.89
